experiment,context,runs,success,failed,constraint_violations,pollution,avg_context_tokens,ok,test_failed,apply_failed,no_patch
deepseek-v4-flash,no_context,10,6,4,0,0,8.0,28,13,9,0
deepseek-v4-flash,result_history,10,5,5,1,0,35.8,28,13,9,0
deepseek-v4-flash,full_process,10,5,5,0,0,140.4,28,13,9,0
deepseek-v4-flash,routed_process,10,7,3,0,0,86.2,28,13,9,0
deepseek-v4-flash,irrelevant_context,10,5,5,2,2,82.0,28,13,9,0
deepseek-v4-pro,no_context,10,8,2,1,0,8.0,37,10,3,0
deepseek-v4-pro,result_history,10,8,2,0,0,35.8,37,10,3,0
deepseek-v4-pro,full_process,10,7,3,1,0,140.4,37,10,3,0
deepseek-v4-pro,routed_process,10,6,4,0,0,86.2,37,10,3,0
deepseek-v4-pro,irrelevant_context,10,8,2,2,2,82.0,37,10,3,0
deepseek-v4-pro-thinking-high,no_context,10,8,2,1,0,8.0,42,1,7,0
deepseek-v4-pro-thinking-high,result_history,10,7,3,1,0,35.8,42,1,7,0
deepseek-v4-pro-thinking-high,full_process,10,9,1,1,0,140.4,42,1,7,0
deepseek-v4-pro-thinking-high,routed_process,10,8,2,1,0,86.2,42,1,7,0
deepseek-v4-pro-thinking-high,irrelevant_context,10,10,0,2,2,82.0,42,1,7,0
deepseek-v4-pro-thinking-max,no_context,10,7,3,2,0,8.0,39,2,6,3
deepseek-v4-pro-thinking-max,result_history,10,7,3,2,0,35.8,39,2,6,3
deepseek-v4-pro-thinking-max,full_process,10,8,2,2,0,140.4,39,2,6,3
deepseek-v4-pro-thinking-max,routed_process,10,9,1,3,0,86.2,39,2,6,3
deepseek-v4-pro-thinking-max,irrelevant_context,10,8,2,1,1,82.0,39,2,6,3
