task_id,task_module,task_title,context_group,deepseek_status,success,violated_history_constraint,repeated_failed_attempt,pollution_flag,touched_files_count,patch_lines_added,patch_lines_deleted,test_fail_count,skip_reason,context_tokens,run_dir
T01,auth,重构 AuthService token 生成逻辑,full_process,ok,True,False,False,False,2,22,10,0,,163,runs\task_01_auth_refactor\full_process
T01,auth,重构 AuthService token 生成逻辑,irrelevant_context,ok,True,False,False,False,2,28,10,0,,85,runs\task_01_auth_refactor\irrelevant_context
T01,auth,重构 AuthService token 生成逻辑,no_context,ok,True,False,False,False,2,24,10,0,,8,runs\task_01_auth_refactor\no_context
T01,auth,重构 AuthService token 生成逻辑,result_history,ok,True,False,False,False,2,22,10,0,,39,runs\task_01_auth_refactor\result_history
T01,auth,重构 AuthService token 生成逻辑,routed_process,ok,True,True,True,False,2,24,10,0,,86,runs\task_01_auth_refactor\routed_process
T02,auth,为登录接口增加 rememberMe 参数,full_process,ok,True,False,False,False,3,19,1,0,,163,runs\task_02_auth_remember_me\full_process
T02,auth,为登录接口增加 rememberMe 参数,irrelevant_context,no_patch,False,False,False,False,0,0,0,0,DeepSeek response did not contain an applicable patch.,75,runs\task_02_auth_remember_me\irrelevant_context
T02,auth,为登录接口增加 rememberMe 参数,no_context,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,8,runs\task_02_auth_remember_me\no_context
T02,auth,为登录接口增加 rememberMe 参数,result_history,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,39,runs\task_02_auth_remember_me\result_history
T02,auth,为登录接口增加 rememberMe 参数,routed_process,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,86,runs\task_02_auth_remember_me\routed_process
T03,order,优化订单状态判断逻辑,full_process,ok,True,False,False,False,3,18,7,0,,141,runs\task_03_order_status_refactor\full_process
T03,order,优化订单状态判断逻辑,irrelevant_context,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,88,runs\task_03_order_status_refactor\irrelevant_context
T03,order,优化订单状态判断逻辑,no_context,ok,True,False,False,False,2,25,10,0,,8,runs\task_03_order_status_refactor\no_context
T03,order,优化订单状态判断逻辑,result_history,no_patch,False,False,False,False,0,0,0,0,DeepSeek response did not contain an applicable patch.,42,runs\task_03_order_status_refactor\result_history
T03,order,优化订单状态判断逻辑,routed_process,ok,True,True,True,False,3,26,7,0,,91,runs\task_03_order_status_refactor\routed_process
T04,order,增加订单退款 PARTIAL_REFUND 状态,full_process,ok,True,False,False,False,1,2,1,0,,141,runs\task_04_order_partial_refund\full_process
T04,order,增加订单退款 PARTIAL_REFUND 状态,irrelevant_context,ok,True,False,False,False,2,3,1,0,,85,runs\task_04_order_partial_refund\irrelevant_context
T04,order,增加订单退款 PARTIAL_REFUND 状态,no_context,ok,True,False,False,False,2,4,2,0,,8,runs\task_04_order_partial_refund\no_context
T04,order,增加订单退款 PARTIAL_REFUND 状态,result_history,ok,True,False,False,False,2,4,2,0,,42,runs\task_04_order_partial_refund\result_history
T04,order,增加订单退款 PARTIAL_REFUND 状态,routed_process,ok,True,False,False,False,2,3,1,0,,91,runs\task_04_order_partial_refund\routed_process
T05,user,重构用户删除逻辑,full_process,ok,True,True,True,False,2,7,4,0,,129,runs\task_05_user_delete_refactor\full_process
T05,user,重构用户删除逻辑,irrelevant_context,ok,True,True,True,True,2,8,4,0,,92,runs\task_05_user_delete_refactor\irrelevant_context
T05,user,重构用户删除逻辑,no_context,ok,True,True,True,False,2,4,5,0,,8,runs\task_05_user_delete_refactor\no_context
T05,user,重构用户删除逻辑,result_history,ok,True,True,True,False,2,10,4,0,,34,runs\task_05_user_delete_refactor\result_history
T05,user,重构用户删除逻辑,routed_process,ok,True,True,True,False,2,6,6,0,,83,runs\task_05_user_delete_refactor\routed_process
T06,user,增加批量删除用户功能,full_process,ok,True,False,False,False,1,11,0,0,,129,runs\task_06_user_batch_delete\full_process
T06,user,增加批量删除用户功能,irrelevant_context,ok,True,False,False,False,1,7,0,0,,80,runs\task_06_user_batch_delete\irrelevant_context
T06,user,增加批量删除用户功能,no_context,ok,True,False,False,False,1,11,0,0,,8,runs\task_06_user_batch_delete\no_context
T06,user,增加批量删除用户功能,result_history,ok,True,False,False,False,1,7,0,0,,34,runs\task_06_user_batch_delete\result_history
T06,user,增加批量删除用户功能,routed_process,ok,True,False,False,False,1,11,0,0,,83,runs\task_06_user_batch_delete\routed_process
T07,payment,统一支付模块金额字段命名,full_process,test_failed,False,False,False,False,1,1,2,0,,145,runs\task_07_payment_amount_names\full_process
T07,payment,统一支付模块金额字段命名,irrelevant_context,ok,True,False,False,False,1,1,3,0,,78,runs\task_07_payment_amount_names\irrelevant_context
T07,payment,统一支付模块金额字段命名,no_context,ok,True,False,False,False,1,1,6,0,,8,runs\task_07_payment_amount_names\no_context
T07,payment,统一支付模块金额字段命名,result_history,ok,True,False,False,False,1,0,6,0,,33,runs\task_07_payment_amount_names\result_history
T07,payment,统一支付模块金额字段命名,routed_process,ok,True,False,False,False,1,5,6,0,,92,runs\task_07_payment_amount_names\routed_process
T08,payment,增加支付回调参数校验,full_process,ok,True,False,False,False,1,12,0,0,,145,runs\task_08_payment_callback_validation\full_process
T08,payment,增加支付回调参数校验,irrelevant_context,ok,True,False,False,False,1,13,0,0,,75,runs\task_08_payment_callback_validation\irrelevant_context
T08,payment,增加支付回调参数校验,no_context,no_patch,False,False,False,False,0,0,0,0,DeepSeek response did not contain an applicable patch.,8,runs\task_08_payment_callback_validation\no_context
T08,payment,增加支付回调参数校验,result_history,ok,True,False,False,False,1,20,0,0,,33,runs\task_08_payment_callback_validation\result_history
T08,payment,增加支付回调参数校验,routed_process,ok,True,False,False,False,1,18,0,0,,92,runs\task_08_payment_callback_validation\routed_process
T09,job,优化账单同步任务,full_process,ok,True,True,True,False,2,15,6,0,,124,runs\task_09_job_sync_refactor\full_process
T09,job,优化账单同步任务,irrelevant_context,ok,True,False,False,False,1,8,6,0,,83,runs\task_09_job_sync_refactor\irrelevant_context
T09,job,优化账单同步任务,no_context,ok,True,True,True,False,2,7,10,0,,8,runs\task_09_job_sync_refactor\no_context
T09,job,优化账单同步任务,result_history,ok,True,True,True,False,2,8,1,0,,31,runs\task_09_job_sync_refactor\result_history
T09,job,优化账单同步任务,routed_process,ok,True,False,False,False,1,5,2,0,,79,runs\task_09_job_sync_refactor\routed_process
T10,job,增加手动重跑账单同步功能,full_process,test_failed,False,False,False,False,1,32,0,0,,124,runs\task_10_job_manual_rerun\full_process
T10,job,增加手动重跑账单同步功能,irrelevant_context,ok,True,False,False,False,2,43,0,0,,79,runs\task_10_job_manual_rerun\irrelevant_context
T10,job,增加手动重跑账单同步功能,no_context,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,8,runs\task_10_job_manual_rerun\no_context
T10,job,增加手动重跑账单同步功能,result_history,apply_failed,False,False,False,False,0,0,0,0,Model patch failed to apply after retry.,31,runs\task_10_job_manual_rerun\result_history
T10,job,增加手动重跑账单同步功能,routed_process,ok,True,False,False,False,1,4,0,0,,79,runs\task_10_job_manual_rerun\routed_process
